city,year,pollutant,sector,emissions
Shenyang,2011,bc,POWER_INDUSTRY,36.353819996118546
Shenyang,2011,oc,BUILDINGS,9941.213738918304
Shenyang,2011,pm2_5,BUILDINGS,20852.22961616516
Shenyang,2011,pm2_5,POWER_INDUSTRY,779.2162351608276
Shenyang,2011,pm2_5,TRANSPORT,1834.3683627188439
Shenyang,2011,so2,POWER_INDUSTRY,14480.072338104248
Shenyang,2012,bc,BUILDINGS,2075.005324959755
Shenyang,2012,bc,POWER_INDUSTRY,44.30018052458763
Shenyang,2012,oc,BUILDINGS,9792.54546546936
Shenyang,2012,pm2_5,BUILDINGS,20465.179301261902
Shenyang,2012,pm2_5,POWER_INDUSTRY,953.3056802749634
Shenyang,2012,pm2_5,TRANSPORT,1838.625379382749
Shenyang,2012,so2,POWER_INDUSTRY,17552.00965309143
Shenyang,2013,bc,BUILDINGS,2006.4811127185822
Shenyang,2013,bc,POWER_INDUSTRY,43.65583875775337
Shenyang,2013,oc,BUILDINGS,9722.089671134949
Shenyang,2013,pm2_5,BUILDINGS,20177.647936820984
Shenyang,2013,pm2_5,POWER_INDUSTRY,942.552239894867
Shenyang,2013,pm2_5,TRANSPORT,1664.6175063564442
Shenyang,2013,so2,POWER_INDUSTRY,17027.09571647644
Shenyang,2014,bc,BUILDINGS,1917.7059129476547
Shenyang,2014,bc,POWER_INDUSTRY,41.7582593858242
Shenyang,2014,oc,BUILDINGS,9310.351689815521
Shenyang,2014,pm2_5,BUILDINGS,19297.335354804993
Shenyang,2014,pm2_5,POWER_INDUSTRY,902.363697052002
Shenyang,2014,pm2_5,TRANSPORT,1574.2925469314214
Shenyang,2014,so2,POWER_INDUSTRY,16033.810457229614
Shenyang,2015,bc,BUILDINGS,1919.0259095430374
Shenyang,2015,bc,POWER_INDUSTRY,37.660203635692596
Shenyang,2015,oc,BUILDINGS,9414.0261759758
Shenyang,2015,pm2_5,BUILDINGS,19467.557746887207
Shenyang,2015,pm2_5,POWER_INDUSTRY,814.2464218139648
Shenyang,2015,pm2_5,TRANSPORT,1460.6895247413777
Shenyang,2015,so2,POWER_INDUSTRY,14231.6555519104
